cooRowIndexHostPtr[0]=0; cooColIndexHostPtr[0]=0; cooValHostPtr[0]=-615.6962723589505;
cooRowIndexHostPtr[35]=9; cooColIndexHostPtr[35]=8; cooValHostPtr[35]=310.0731361794753;
cooRowIndexHostPtr[36]=9; cooColIndexHostPtr[36]=9; cooValHostPtr[36]=-615.6962723589505;
cooRowIndexHostPtr[37]=9; cooColIndexHostPtr[37]=10; cooValHostPtr[37]=310.0731361794753;
cooRowIndexHostPtr[38]=9; cooColIndexHostPtr[38]=109; cooValHostPtr[38]=4.0;
cooRowIndexHostPtr[39]=10; cooColIndexHostPtr[39]=9; cooValHostPtr[39]=310.0731361794753;
cooRowIndexHostPtr[40]=10; cooColIndexHostPtr[40]=10; cooValHostPtr[40]=-615.6962723589505;
cooRowIndexHostPtr[41]=10; cooColIndexHostPtr[41]=11; cooValHostPtr[41]=310.0731361794753;
cooRowIndexHostPtr[42]=10; cooColIndexHostPtr[42]=110; cooValHostPtr[42]=4.0;
cooRowIndexHostPtr[43]=11; cooColIndexHostPtr[43]=10; cooValHostPtr[43]=310.0731361794753;
cooRowIndexHostPtr[44]=11; cooColIndexHostPtr[44]=11; cooValHostPtr[44]=-615.6962723589505;
cooRowIndexHostPtr[45]=11; cooColIndexHostPtr[45]=12; cooValHostPtr[45]=310.0731361794753;
cooRowIndexHostPtr[46]=11; cooColIndexHostPtr[46]=111; cooValHostPtr[46]=4.0;
cooRowIndexHostPtr[47]=12; cooColIndexHostPtr[47]=11; cooValHostPtr[47]=310.0731361794753;
cooRowIndexHostPtr[48]=12; cooColIndexHostPtr[48]=12; cooValHostPtr[48]=-615.6962723589505;
cooRowIndexHostPtr[49]=12; cooColIndexHostPtr[49]=13; cooValHostPtr[49]=310.0731361794753;
cooRowIndexHostPtr[50]=12; cooColIndexHostPtr[50]=112; cooValHostPtr[50]=4.0;
cooRowIndexHostPtr[51]=13; cooColIndexHostPtr[51]=12; cooValHostPtr[51]=310.0731361794753;
cooRowIndexHostPtr[52]=13; cooColIndexHostPtr[52]=13; cooValHostPtr[52]=-615.6962723589505;
cooRowIndexHostPtr[53]=13; cooColIndexHostPtr[53]=14; cooValHostPtr[53]=310.0731361794753;
cooRowIndexHostPtr[54]=13; cooColIndexHostPtr[54]=113; cooValHostPtr[54]=4.0;
cooRowIndexHostPtr[55]=14; cooColIndexHostPtr[55]=13; cooValHostPtr[55]=310.0731361794753;
cooRowIndexHostPtr[56]=14; cooColIndexHostPtr[56]=14; cooValHostPtr[56]=-615.6962723589505;
cooRowIndexHostPtr[57]=14; cooColIndexHostPtr[57]=15; cooValHostPtr[57]=310.0731361794753;
cooRowIndexHostPtr[58]=14; cooColIndexHostPtr[58]=114; cooValHostPtr[58]=4.0;
cooRowIndexHostPtr[59]=15; cooColIndexHostPtr[59]=14; cooValHostPtr[59]=310.0731361794753;
cooRowIndexHostPtr[60]=15; cooColIndexHostPtr[60]=15; cooValHostPtr[60]=-615.6962723589505;
cooRowIndexHostPtr[61]=15; cooColIndexHostPtr[61]=16; cooValHostPtr[61]=310.0731361794753;
cooRowIndexHostPtr[62]=15; cooColIndexHostPtr[62]=115; cooValHostPtr[62]=4.0;
cooRowIndexHostPtr[63]=16; cooColIndexHostPtr[63]=15; cooValHostPtr[63]=310.0731361794753;
cooRowIndexHostPtr[64]=16; cooColIndexHostPtr[64]=16; cooValHostPtr[64]=-615.6962723589505;
cooRowIndexHostPtr[65]=16; cooColIndexHostPtr[65]=17; cooValHostPtr[65]=310.0731361794753;
cooRowIndexHostPtr[66]=16; cooColIndexHostPtr[66]=116; cooValHostPtr[66]=4.0;
cooRowIndexHostPtr[67]=17; cooColIndexHostPtr[67]=16; cooValHostPtr[67]=310.0731361794753;
cooRowIndexHostPtr[68]=17; cooColIndexHostPtr[68]=17; cooValHostPtr[68]=-615.6962723589505;
cooRowIndexHostPtr[69]=17; cooColIndexHostPtr[69]=18; cooValHostPtr[69]=310.0731361794753;
cooRowIndexHostPtr[70]=17; cooColIndexHostPtr[70]=117; cooValHostPtr[70]=4.0;
cooRowIndexHostPtr[71]=18; cooColIndexHostPtr[71]=17; cooValHostPtr[71]=310.0731361794753;
cooRowIndexHostPtr[72]=18; cooColIndexHostPtr[72]=18; cooValHostPtr[72]=-615.6962723589505;
cooRowIndexHostPtr[73]=18; cooColIndexHostPtr[73]=19; cooValHostPtr[73]=310.0731361794753;
cooRowIndexHostPtr[74]=18; cooColIndexHostPtr[74]=118; cooValHostPtr[74]=4.0;
cooRowIndexHostPtr[75]=19; cooColIndexHostPtr[75]=18; cooValHostPtr[75]=310.0731361794753;
cooRowIndexHostPtr[76]=19; cooColIndexHostPtr[76]=19; cooValHostPtr[76]=-615.6962723589505;
cooRowIndexHostPtr[77]=19; cooColIndexHostPtr[77]=20; cooValHostPtr[77]=310.0731361794753;
cooRowIndexHostPtr[78]=19; cooColIndexHostPtr[78]=119; cooValHostPtr[78]=4.0;
cooRowIndexHostPtr[79]=20; cooColIndexHostPtr[79]=19; cooValHostPtr[79]=310.0731361794753;
cooRowIndexHostPtr[80]=20; cooColIndexHostPtr[80]=20; cooValHostPtr[80]=-615.6962723589505;
cooRowIndexHostPtr[81]=20; cooColIndexHostPtr[81]=21; cooValHostPtr[81]=310.0731361794753;
cooRowIndexHostPtr[82]=20; cooColIndexHostPtr[82]=120; cooValHostPtr[82]=4.0;
cooRowIndexHostPtr[83]=21; cooColIndexHostPtr[83]=20; cooValHostPtr[83]=310.0731361794753;
cooRowIndexHostPtr[84]=21; cooColIndexHostPtr[84]=21; cooValHostPtr[84]=-615.6962723589505;
cooRowIndexHostPtr[85]=21; cooColIndexHostPtr[85]=22; cooValHostPtr[85]=310.0731361794753;
cooRowIndexHostPtr[86]=21; cooColIndexHostPtr[86]=121; cooValHostPtr[86]=4.0;
cooRowIndexHostPtr[87]=22; cooColIndexHostPtr[87]=21; cooValHostPtr[87]=310.0731361794753;
cooRowIndexHostPtr[88]=22; cooColIndexHostPtr[88]=22; cooValHostPtr[88]=-615.6962723589505;
cooRowIndexHostPtr[89]=22; cooColIndexHostPtr[89]=23; cooValHostPtr[89]=310.0731361794753;
cooRowIndexHostPtr[90]=22; cooColIndexHostPtr[90]=122; cooValHostPtr[90]=4.0;
cooRowIndexHostPtr[91]=23; cooColIndexHostPtr[91]=22; cooValHostPtr[91]=310.0731361794753;
cooRowIndexHostPtr[92]=23; cooColIndexHostPtr[92]=23; cooValHostPtr[92]=-615.6962723589505;
cooRowIndexHostPtr[93]=23; cooColIndexHostPtr[93]=24; cooValHostPtr[93]=310.0731361794753;
cooRowIndexHostPtr[94]=23; cooColIndexHostPtr[94]=123; cooValHostPtr[94]=4.0;
cooRowIndexHostPtr[95]=24; cooColIndexHostPtr[95]=23; cooValHostPtr[95]=310.0731361794753;
cooRowIndexHostPtr[96]=24; cooColIndexHostPtr[96]=24; cooValHostPtr[96]=-615.6962723589505;
cooRowIndexHostPtr[97]=24; cooColIndexHostPtr[97]=25; cooValHostPtr[97]=310.0731361794753;
cooRowIndexHostPtr[98]=24; cooColIndexHostPtr[98]=124; cooValHostPtr[98]=4.0;
cooRowIndexHostPtr[99]=25; cooColIndexHostPtr[99]=24; cooValHostPtr[99]=310.0731361794753;
cooRowIndexHostPtr[100]=25; cooColIndexHostPtr[100]=25; cooValHostPtr[100]=-615.6962723589505;
cooRowIndexHostPtr[101]=25; cooColIndexHostPtr[101]=26; cooValHostPtr[101]=310.0731361794753;
cooRowIndexHostPtr[102]=25; cooColIndexHostPtr[102]=125; cooValHostPtr[102]=4.0;
cooRowIndexHostPtr[103]=26; cooColIndexHostPtr[103]=25; cooValHostPtr[103]=310.0731361794753;
cooRowIndexHostPtr[104]=26; cooColIndexHostPtr[104]=26; cooValHostPtr[104]=-615.6962723589505;
cooRowIndexHostPtr[105]=26; cooColIndexHostPtr[105]=27; cooValHostPtr[105]=310.0731361794753;
cooRowIndexHostPtr[106]=26; cooColIndexHostPtr[106]=126; cooValHostPtr[106]=4.0;
cooRowIndexHostPtr[107]=27; cooColIndexHostPtr[107]=26; cooValHostPtr[107]=310.0731361794753;
cooRowIndexHostPtr[108]=27; cooColIndexHostPtr[108]=27; cooValHostPtr[108]=-615.6962723589505;
cooRowIndexHostPtr[109]=27; cooColIndexHostPtr[109]=28; cooValHostPtr[109]=310.0731361794753;
cooRowIndexHostPtr[110]=27; cooColIndexHostPtr[110]=127; cooValHostPtr[110]=4.0;
cooRowIndexHostPtr[111]=28; cooColIndexHostPtr[111]=27; cooValHostPtr[111]=310.0731361794753;
cooRowIndexHostPtr[112]=28; cooColIndexHostPtr[112]=28; cooValHostPtr[112]=-615.6962723589505;
cooRowIndexHostPtr[113]=28; cooColIndexHostPtr[113]=29; cooValHostPtr[113]=310.0731361794753;
cooRowIndexHostPtr[114]=28; cooColIndexHostPtr[114]=128; cooValHostPtr[114]=4.0;
cooRowIndexHostPtr[115]=29; cooColIndexHostPtr[115]=28; cooValHostPtr[115]=310.0731361794753;
cooRowIndexHostPtr[116]=29; cooColIndexHostPtr[116]=29; cooValHostPtr[116]=-615.6962723589505;
cooRowIndexHostPtr[117]=29; cooColIndexHostPtr[117]=30; cooValHostPtr[117]=310.0731361794753;
cooRowIndexHostPtr[118]=29; cooColIndexHostPtr[118]=129; cooValHostPtr[118]=4.0;
cooRowIndexHostPtr[119]=30; cooColIndexHostPtr[119]=29; cooValHostPtr[119]=310.0731361794753;
cooRowIndexHostPtr[120]=30; cooColIndexHostPtr[120]=30; cooValHostPtr[120]=-615.6962723589505;
cooRowIndexHostPtr[121]=30; cooColIndexHostPtr[121]=31; cooValHostPtr[121]=310.0731361794753;
cooRowIndexHostPtr[122]=30; cooColIndexHostPtr[122]=130; cooValHostPtr[122]=4.0;
cooRowIndexHostPtr[123]=31; cooColIndexHostPtr[123]=30; cooValHostPtr[123]=310.0731361794753;
cooRowIndexHostPtr[124]=31; cooColIndexHostPtr[124]=31; cooValHostPtr[124]=-615.6962723589505;
cooRowIndexHostPtr[125]=31; cooColIndexHostPtr[125]=32; cooValHostPtr[125]=310.0731361794753;
cooRowIndexHostPtr[126]=31; cooColIndexHostPtr[126]=131; cooValHostPtr[126]=4.0;
cooRowIndexHostPtr[127]=32; cooColIndexHostPtr[127]=31; cooValHostPtr[127]=310.0731361794753;
cooRowIndexHostPtr[128]=32; cooColIndexHostPtr[128]=32; cooValHostPtr[128]=-615.6962723589505;
cooRowIndexHostPtr[129]=32; cooColIndexHostPtr[129]=33; cooValHostPtr[129]=310.0731361794753;
cooRowIndexHostPtr[130]=32; cooColIndexHostPtr[130]=132; cooValHostPtr[130]=4.0;
cooRowIndexHostPtr[131]=33; cooColIndexHostPtr[131]=32; cooValHostPtr[131]=310.0731361794753;
cooRowIndexHostPtr[132]=33; cooColIndexHostPtr[132]=33; cooValHostPtr[132]=-615.6962723589505;
cooRowIndexHostPtr[133]=33; cooColIndexHostPtr[133]=34; cooValHostPtr[133]=310.0731361794753;
cooRowIndexHostPtr[134]=33; cooColIndexHostPtr[134]=133; cooValHostPtr[134]=4.0;
cooRowIndexHostPtr[135]=34; cooColIndexHostPtr[135]=33; cooValHostPtr[135]=310.0731361794753;
cooRowIndexHostPtr[136]=34; cooColIndexHostPtr[136]=34; cooValHostPtr[136]=-615.6962723589505;
cooRowIndexHostPtr[137]=34; cooColIndexHostPtr[137]=35; cooValHostPtr[137]=310.0731361794753;
cooRowIndexHostPtr[138]=34; cooColIndexHostPtr[138]=134; cooValHostPtr[138]=4.0;
cooRowIndexHostPtr[139]=35; cooColIndexHostPtr[139]=34; cooValHostPtr[139]=310.0731361794753;
cooRowIndexHostPtr[140]=35; cooColIndexHostPtr[140]=35; cooValHostPtr[140]=-615.6962723589505;
cooRowIndexHostPtr[141]=35; cooColIndexHostPtr[141]=36; cooValHostPtr[141]=310.0731361794753;
cooRowIndexHostPtr[142]=35; cooColIndexHostPtr[142]=135; cooValHostPtr[142]=4.0;
cooRowIndexHostPtr[143]=36; cooColIndexHostPtr[143]=35; cooValHostPtr[143]=310.0731361794753;
cooRowIndexHostPtr[144]=36; cooColIndexHostPtr[144]=36; cooValHostPtr[144]=-615.6962723589505;
cooRowIndexHostPtr[145]=36; cooColIndexHostPtr[145]=37; cooValHostPtr[145]=310.0731361794753;
cooRowIndexHostPtr[146]=36; cooColIndexHostPtr[146]=136; cooValHostPtr[146]=4.0;
cooRowIndexHostPtr[147]=37; cooColIndexHostPtr[147]=36; cooValHostPtr[147]=310.0731361794753;
cooRowIndexHostPtr[148]=37; cooColIndexHostPtr[148]=37; cooValHostPtr[148]=-615.6962723589505;
cooRowIndexHostPtr[149]=37; cooColIndexHostPtr[149]=38; cooValHostPtr[149]=310.0731361794753;
cooRowIndexHostPtr[150]=37; cooColIndexHostPtr[150]=137; cooValHostPtr[150]=4.0;
cooRowIndexHostPtr[151]=38; cooColIndexHostPtr[151]=37; cooValHostPtr[151]=310.0731361794753;
cooRowIndexHostPtr[152]=38; cooColIndexHostPtr[152]=38; cooValHostPtr[152]=-615.6962723589505;
cooRowIndexHostPtr[153]=38; cooColIndexHostPtr[153]=39; cooValHostPtr[153]=310.0731361794753;
cooRowIndexHostPtr[154]=38; cooColIndexHostPtr[154]=138; cooValHostPtr[154]=4.0;
cooRowIndexHostPtr[155]=39; cooColIndexHostPtr[155]=38; cooValHostPtr[155]=310.0731361794753;
cooRowIndexHostPtr[156]=39; cooColIndexHostPtr[156]=39; cooValHostPtr[156]=-615.6962723589505;
cooRowIndexHostPtr[157]=39; cooColIndexHostPtr[157]=40; cooValHostPtr[157]=310.0731361794753;
cooRowIndexHostPtr[158]=39; cooColIndexHostPtr[158]=139; cooValHostPtr[158]=4.0;
cooRowIndexHostPtr[159]=40; cooColIndexHostPtr[159]=39; cooValHostPtr[159]=310.0731361794753;
cooRowIndexHostPtr[160]=40; cooColIndexHostPtr[160]=40; cooValHostPtr[160]=-615.6962723589505;
cooRowIndexHostPtr[161]=40; cooColIndexHostPtr[161]=41; cooValHostPtr[161]=310.0731361794753;
cooRowIndexHostPtr[162]=40; cooColIndexHostPtr[162]=140; cooValHostPtr[162]=4.0;
cooRowIndexHostPtr[163]=41; cooColIndexHostPtr[163]=40; cooValHostPtr[163]=310.0731361794753;
cooRowIndexHostPtr[164]=41; cooColIndexHostPtr[164]=41; cooValHostPtr[164]=-615.6962723589505;
cooRowIndexHostPtr[165]=41; cooColIndexHostPtr[165]=42; cooValHostPtr[165]=310.0731361794753;
cooRowIndexHostPtr[166]=41; cooColIndexHostPtr[166]=141; cooValHostPtr[166]=4.0;
cooRowIndexHostPtr[167]=42; cooColIndexHostPtr[167]=41; cooValHostPtr[167]=310.0731361794753;
cooRowIndexHostPtr[168]=42; cooColIndexHostPtr[168]=42; cooValHostPtr[168]=-615.6962723589505;
cooRowIndexHostPtr[169]=42; cooColIndexHostPtr[169]=43; cooValHostPtr[169]=310.0731361794753;
cooRowIndexHostPtr[170]=42; cooColIndexHostPtr[170]=142; cooValHostPtr[170]=4.0;
cooRowIndexHostPtr[171]=43; cooColIndexHostPtr[171]=42; cooValHostPtr[171]=310.0731361794753;
cooRowIndexHostPtr[172]=43; cooColIndexHostPtr[172]=43; cooValHostPtr[172]=-615.6962723589505;
cooRowIndexHostPtr[173]=43; cooColIndexHostPtr[173]=44; cooValHostPtr[173]=310.0731361794753;
cooRowIndexHostPtr[174]=43; cooColIndexHostPtr[174]=143; cooValHostPtr[174]=4.0;
cooRowIndexHostPtr[175]=44; cooColIndexHostPtr[175]=43; cooValHostPtr[175]=310.0731361794753;
cooRowIndexHostPtr[176]=44; cooColIndexHostPtr[176]=44; cooValHostPtr[176]=-615.6962723589505;
cooRowIndexHostPtr[177]=44; cooColIndexHostPtr[177]=45; cooValHostPtr[177]=310.0731361794753;
cooRowIndexHostPtr[178]=44; cooColIndexHostPtr[178]=144; cooValHostPtr[178]=4.0;
cooRowIndexHostPtr[179]=45; cooColIndexHostPtr[179]=44; cooValHostPtr[179]=310.0731361794753;
cooRowIndexHostPtr[180]=45; cooColIndexHostPtr[180]=45; cooValHostPtr[180]=-615.6962723589505;
cooRowIndexHostPtr[181]=45; cooColIndexHostPtr[181]=46; cooValHostPtr[181]=310.0731361794753;
cooRowIndexHostPtr[182]=45; cooColIndexHostPtr[182]=145; cooValHostPtr[182]=4.0;
cooRowIndexHostPtr[183]=46; cooColIndexHostPtr[183]=45; cooValHostPtr[183]=310.0731361794753;
cooRowIndexHostPtr[184]=46; cooColIndexHostPtr[184]=46; cooValHostPtr[184]=-615.6962723589505;
cooRowIndexHostPtr[185]=46; cooColIndexHostPtr[185]=47; cooValHostPtr[185]=310.0731361794753;
cooRowIndexHostPtr[186]=46; cooColIndexHostPtr[186]=146; cooValHostPtr[186]=4.0;
cooRowIndexHostPtr[187]=47; cooColIndexHostPtr[187]=46; cooValHostPtr[187]=310.0731361794753;
cooRowIndexHostPtr[188]=47; cooColIndexHostPtr[188]=47; cooValHostPtr[188]=-615.6962723589505;
cooRowIndexHostPtr[189]=47; cooColIndexHostPtr[189]=48; cooValHostPtr[189]=310.0731361794753;
cooRowIndexHostPtr[190]=47; cooColIndexHostPtr[190]=147; cooValHostPtr[190]=4.0;
cooRowIndexHostPtr[191]=48; cooColIndexHostPtr[191]=47; cooValHostPtr[191]=310.0731361794753;
cooRowIndexHostPtr[192]=48; cooColIndexHostPtr[192]=48; cooValHostPtr[192]=-615.6962723589505;
cooRowIndexHostPtr[193]=48; cooColIndexHostPtr[193]=49; cooValHostPtr[193]=310.0731361794753;
cooRowIndexHostPtr[194]=48; cooColIndexHostPtr[194]=148; cooValHostPtr[194]=4.0;
cooRowIndexHostPtr[195]=49; cooColIndexHostPtr[195]=48; cooValHostPtr[195]=310.0731361794753;
cooRowIndexHostPtr[196]=49; cooColIndexHostPtr[196]=49; cooValHostPtr[196]=-615.6962723589505;
cooRowIndexHostPtr[197]=49; cooColIndexHostPtr[197]=50; cooValHostPtr[197]=310.0731361794753;
cooRowIndexHostPtr[198]=49; cooColIndexHostPtr[198]=149; cooValHostPtr[198]=4.0;
cooRowIndexHostPtr[199]=50; cooColIndexHostPtr[199]=49; cooValHostPtr[199]=310.0731361794753;
cooRowIndexHostPtr[200]=50; cooColIndexHostPtr[200]=50; cooValHostPtr[200]=-615.6962723589505;
cooRowIndexHostPtr[201]=50; cooColIndexHostPtr[201]=51; cooValHostPtr[201]=310.0731361794753;
cooRowIndexHostPtr[202]=50; cooColIndexHostPtr[202]=150; cooValHostPtr[202]=4.0;
cooRowIndexHostPtr[203]=51; cooColIndexHostPtr[203]=50; cooValHostPtr[203]=310.0731361794753;
cooRowIndexHostPtr[204]=51; cooColIndexHostPtr[204]=51; cooValHostPtr[204]=-615.6962723589505;
cooRowIndexHostPtr[205]=51; cooColIndexHostPtr[205]=52; cooValHostPtr[205]=310.0731361794753;
cooRowIndexHostPtr[206]=51; cooColIndexHostPtr[206]=151; cooValHostPtr[206]=4.0;
cooRowIndexHostPtr[207]=52; cooColIndexHostPtr[207]=51; cooValHostPtr[207]=310.0731361794753;
cooRowIndexHostPtr[208]=52; cooColIndexHostPtr[208]=52; cooValHostPtr[208]=-615.6962723589505;
cooRowIndexHostPtr[209]=52; cooColIndexHostPtr[209]=53; cooValHostPtr[209]=310.0731361794753;
cooRowIndexHostPtr[210]=52; cooColIndexHostPtr[210]=152; cooValHostPtr[210]=4.0;
cooRowIndexHostPtr[211]=53; cooColIndexHostPtr[211]=52; cooValHostPtr[211]=310.0731361794753;
cooRowIndexHostPtr[212]=53; cooColIndexHostPtr[212]=53; cooValHostPtr[212]=-615.6962723589505;
cooRowIndexHostPtr[213]=53; cooColIndexHostPtr[213]=54; cooValHostPtr[213]=310.0731361794753;
cooRowIndexHostPtr[214]=53; cooColIndexHostPtr[214]=153; cooValHostPtr[214]=4.0;
cooRowIndexHostPtr[215]=54; cooColIndexHostPtr[215]=53; cooValHostPtr[215]=310.0731361794753;
cooRowIndexHostPtr[216]=54; cooColIndexHostPtr[216]=54; cooValHostPtr[216]=-615.6962723589505;
cooRowIndexHostPtr[217]=54; cooColIndexHostPtr[217]=55; cooValHostPtr[217]=310.0731361794753;
cooRowIndexHostPtr[218]=54; cooColIndexHostPtr[218]=154; cooValHostPtr[218]=4.0;
cooRowIndexHostPtr[219]=55; cooColIndexHostPtr[219]=54; cooValHostPtr[219]=310.0731361794753;
cooRowIndexHostPtr[220]=55; cooColIndexHostPtr[220]=55; cooValHostPtr[220]=-615.6962723589505;
cooRowIndexHostPtr[221]=55; cooColIndexHostPtr[221]=56; cooValHostPtr[221]=310.0731361794753;
cooRowIndexHostPtr[222]=55; cooColIndexHostPtr[222]=155; cooValHostPtr[222]=4.0;
cooRowIndexHostPtr[223]=56; cooColIndexHostPtr[223]=55; cooValHostPtr[223]=310.0731361794753;
cooRowIndexHostPtr[224]=56; cooColIndexHostPtr[224]=56; cooValHostPtr[224]=-615.6962723589505;
cooRowIndexHostPtr[225]=56; cooColIndexHostPtr[225]=57; cooValHostPtr[225]=310.0731361794753;
cooRowIndexHostPtr[226]=56; cooColIndexHostPtr[226]=156; cooValHostPtr[226]=4.0;
cooRowIndexHostPtr[227]=57; cooColIndexHostPtr[227]=56; cooValHostPtr[227]=310.0731361794753;
cooRowIndexHostPtr[228]=57; cooColIndexHostPtr[228]=57; cooValHostPtr[228]=-615.6962723589505;
cooRowIndexHostPtr[229]=57; cooColIndexHostPtr[229]=58; cooValHostPtr[229]=310.0731361794753;
cooRowIndexHostPtr[230]=57; cooColIndexHostPtr[230]=157; cooValHostPtr[230]=4.0;
cooRowIndexHostPtr[231]=58; cooColIndexHostPtr[231]=57; cooValHostPtr[231]=310.0731361794753;
cooRowIndexHostPtr[232]=58; cooColIndexHostPtr[232]=58; cooValHostPtr[232]=-615.6962723589505;
cooRowIndexHostPtr[233]=58; cooColIndexHostPtr[233]=59; cooValHostPtr[233]=310.0731361794753;
cooRowIndexHostPtr[234]=58; cooColIndexHostPtr[234]=158; cooValHostPtr[234]=4.0;
cooRowIndexHostPtr[235]=59; cooColIndexHostPtr[235]=58; cooValHostPtr[235]=310.0731361794753;
cooRowIndexHostPtr[236]=59; cooColIndexHostPtr[236]=59; cooValHostPtr[236]=-615.6962723589505;
cooRowIndexHostPtr[237]=59; cooColIndexHostPtr[237]=60; cooValHostPtr[237]=310.0731361794753;
cooRowIndexHostPtr[238]=59; cooColIndexHostPtr[238]=159; cooValHostPtr[238]=4.0;
cooRowIndexHostPtr[239]=60; cooColIndexHostPtr[239]=59; cooValHostPtr[239]=310.0731361794753;
cooRowIndexHostPtr[240]=60; cooColIndexHostPtr[240]=60; cooValHostPtr[240]=-615.6962723589505;
cooRowIndexHostPtr[241]=60; cooColIndexHostPtr[241]=61; cooValHostPtr[241]=310.0731361794753;
cooRowIndexHostPtr[242]=60; cooColIndexHostPtr[242]=160; cooValHostPtr[242]=4.0;
cooRowIndexHostPtr[243]=61; cooColIndexHostPtr[243]=60; cooValHostPtr[243]=310.0731361794753;
cooRowIndexHostPtr[244]=61; cooColIndexHostPtr[244]=61; cooValHostPtr[244]=-615.6962723589505;
cooRowIndexHostPtr[245]=61; cooColIndexHostPtr[245]=62; cooValHostPtr[245]=310.0731361794753;
cooRowIndexHostPtr[246]=61; cooColIndexHostPtr[246]=161; cooValHostPtr[246]=4.0;
cooRowIndexHostPtr[247]=62; cooColIndexHostPtr[247]=61; cooValHostPtr[247]=310.0731361794753;
cooRowIndexHostPtr[248]=62; cooColIndexHostPtr[248]=62; cooValHostPtr[248]=-615.6962723589505;
cooRowIndexHostPtr[249]=62; cooColIndexHostPtr[249]=63; cooValHostPtr[249]=310.0731361794753;
cooRowIndexHostPtr[250]=62; cooColIndexHostPtr[250]=162; cooValHostPtr[250]=4.0;
cooRowIndexHostPtr[251]=63; cooColIndexHostPtr[251]=62; cooValHostPtr[251]=310.0731361794753;
